CALL: Открыт.позиций,"CALL: Последняя сделка, Значение","CALL: Последняя сделка, Дата","CALL: Последняя сделка, Изменение",CALL: ПОКУПКА,CALL: ПРОДАЖА,CALL: Расчетная цена,CALL: Теоретическая цена,СТРАЙК,IV,PUT: Теоретическая цена,PUT: Расчетная цена,PUT: ПОКУПКА,PUT: ПРОДАЖА,"PUT: Последняя сделка, Значение","PUT: Последняя сделка, Дата","PUT: Последняя сделка, Изменение",PUT: Открыт. позиций,
,,,,,,216.6200,217.1400,195.000,54.02,0.01,0.0100,,5.7800,,,,,
,,,,,,211.6300,212.1400,200.000,53.53,0.01,0.0100,,5.0600,,,,,
,,,,,,206.6300,207.1400,205.000,53.01,0.01,0.0100,,5.0600,,,,48,
,,,,,,201.6300,202.1400,210.000,52.44,0.01,0.0100,,5.0600,,,,2,
,,,,,,196.6400,197.1400,215.000,51.83,0.01,0.0200,,5.0600,,,,,
,,,,,,191.6500,192.1400,220.000,51.18,0.01,0.0300,,5.0600,,,,,
,,,,,,186.6600,187.1400,225.000,50.49,0.01,0.0400,,5.0600,,,,2,
,,,,,,181.6800,182.1400,230.000,49.76,0.01,0.0600,,5.0600,,,,,
,,,,,,176.7000,177.1400,235.000,49.00,0.01,0.0800,,4.8100,,,,,
,,,,,,171.7300,172.1400,240.000,48.20,0.01,0.1100,,3.5600,,,,,
,,,,,,166.7600,167.1400,245.000,47.36,0.01,0.1400,,3.5600,,,,,
,,,,,,161.8000,162.1400,250.000,46.50,0.01,0.1800,,3.5500,,,,,
,,,,,,156.8400,157.1500,255.000,45.61,0.01,0.2200,,3.5500,,,,7910,
,,,,,,151.8900,152.1500,260.000,44.69,0.01,0.2700,,3.5500,,,,,
,,,,,,146.9500,147.1500,265.000,43.75,0.01,0.3300,,3.5500,,,,2,
,,,,,,142.0100,142.1500,270.000,42.80,0.01,0.3900,,3.5500,,,,,
,,,,,,137.0800,137.1500,275.000,41.82,0.01,0.4600,,1.0100,,,,,
,,,,,,132.1500,132.1600,280.000,40.83,0.02,0.5300,,1.0100,,,,,
,,,,,,127.2200,127.1600,285.000,39.82,0.02,0.6000,,1.0100,,,,,
,,,,,,122.2900,122.1700,290.000,38.81,0.03,0.6700,,1.0100,,,,80,
,,,,,,117.3600,117.1700,295.000,37.79,0.03,0.7400,,1.0100,,,,6,
,,,,,,112.4200,112.1800,300.000,36.77,0.04,0.8000,0.0300,0.9500,0.08,08.05.23 21:38:17,,262,
,,,,,,107.4900,107.1900,305.000,35.75,0.05,0.8700,,3.5500,,,,8,
,,,,,,102.5500,102.2000,310.000,34.73,0.06,0.9300,,3.5500,,,,,
,,,,,,97.6000,97.2200,315.000,33.72,0.08,0.9800,,3.5500,,,,,
,,,,,,92.6500,92.2300,320.000,32.71,0.09,1.0300,,3.5500,,,,2,
,,,,,,87.6900,87.2600,325.000,31.72,0.12,1.0700,,3.5500,,,,,
,,,,,,82.7400,82.2800,330.000,30.73,0.14,1.1200,,3.4600,,,,,
,,,,,,77.7800,77.3200,335.000,29.76,0.18,1.1600,,3.2600,,,,,
,,,,,,72.8200,72.3600,340.000,28.81,0.22,1.2000,,3.2000,,,,346,
,,,,,,67.8700,67.4200,345.000,27.88,0.28,1.2500,,3.4000,,,,,
,,,,,,62.9300,62.5000,350.000,26.97,0.36,1.3100,,3.5500,,,,180,
,,,,,,58.0100,57.6000,355.000,26.08,0.46,1.3900,,3.5500,,,,2,
,,,,,,53.1100,52.7300,360.000,25.22,0.59,1.4900,,3.5500,,,,58,
,,,,,,48.2400,47.9000,365.000,24.38,0.76,1.6200,,3.5500,,,,52,
,,,,,,43.4200,43.1300,370.000,23.57,0.99,1.8000,0.1400,3.4900,0.12,10.05.23 15:00:44,,1072,
,,,,,,38.6600,38.4400,375.000,22.79,1.30,2.0400,0.0800,4.8100,0.06,10.05.23 14:57:35,,48,
,,,,,,34.0000,33.8400,380.000,22.04,1.70,2.3800,0.5100,4.8100,0.06,10.05.23 15:01:00,,384,
,,,,,,29.4600,29.3800,385.000,21.32,2.24,2.8400,1.4100,4.8100,,,,90,
158,,,,0.2100,,25.0900,25.0900,390.000,20.63,2.95,3.4700,2.0000,4.8100,,,,652,
130,,,,,,20.9500,21.0100,395.000,19.97,3.87,4.3300,1.9400,4.7500,3.47,10.05.23 16:59:46,-15.98,588,
144,,,,,23.4500,17.1100,17.2000,400.000,19.35,5.06,5.4900,4.4600,5.7200,5.00,10.05.23 16:41:40,-6.02,1708,
